step,service_step,phase,kind,channel,x_m,y_m,before_status,after_status,before_radius_m,after_radius_m,movement_m,move_s,switch_s,operation_s,step_s,total_s,result,bearing_deg,reason,reason_explanation,unknown,found,absent,cleared
22,,发现未完,measure,1,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,370.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,20,0,0,0
23,,发现未完,measure,2,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,376.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,20,0,0,0
24,,发现未完,measure,3,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,382.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,20,0,0,0
25,,发现未完,measure,4,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,388.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,20,0,0,0
26,,发现未完,measure,5,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,394.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,20,0,0,0
27,,发现未完,measure,6,-1200.0,1.4695761589768238e-13,unknown,found,,426.81486542697496,0.0,0.0,1,5.0,6.0,400.0,direction,122.59,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,19,1,0,0
28,,发现未完,measure,7,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,406.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,19,1,0,0
29,,发现未完,measure,8,-1200.0,1.4695761589768238e-13,unknown,found,,300.183780563808,0.0,0.0,1,5.0,6.0,412.0,direction,179.0,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,18,2,0,0
30,,发现未完,measure,9,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,418.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,18,2,0,0
31,,发现未完,measure,10,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,424.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,18,2,0,0
32,,发现未完,measure,11,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,430.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,18,2,0,0
33,,发现未完,measure,12,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,436.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,18,2,0,0
34,,发现未完,measure,13,-1200.0,1.4695761589768238e-13,unknown,found,,425.5809468181605,0.0,0.0,1,5.0,6.0,442.0,direction,237.18,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,17,3,0,0
35,,发现未完,measure,14,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,448.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,17,3,0,0
36,,发现未完,measure,15,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,454.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,17,3,0,0
37,,发现未完,measure,16,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,460.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,17,3,0,0
38,,发现未完,measure,17,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,466.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,17,3,0,0
39,,发现未完,measure,18,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,472.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,17,3,0,0
