step,service_step,phase,kind,channel,x_m,y_m,before_status,after_status,before_radius_m,after_radius_m,movement_m,move_s,switch_s,operation_s,step_s,total_s,result,bearing_deg,reason,reason_explanation,unknown,found,absent,cleared
46,,发现未完,measure,2,600.0000000000001,-1039.2304845413264,unknown,unknown,,,0.0,0.0,1,5.0,6.0,994.0000000000001,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,9,11,0,0
47,,发现未完,measure,3,600.0000000000001,-1039.2304845413264,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1000.0000000000001,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,9,11,0,0
48,,发现未完,measure,7,600.0000000000001,-1039.2304845413264,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1006.0000000000001,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,9,11,0,0
49,,发现未完,measure,10,600.0000000000001,-1039.2304845413264,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1012.0000000000001,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,9,11,0,0
50,,发现未完,measure,11,600.0000000000001,-1039.2304845413264,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1018.0000000000001,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,9,11,0,0
51,,发现未完,measure,13,600.0000000000001,-1039.2304845413264,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1024.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,9,11,0,0
52,,发现未完,measure,19,600.0000000000001,-1039.2304845413264,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1030.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,9,11,0,0
53,,发现未完,measure,20,600.0000000000001,-1039.2304845413264,unknown,found,,311.345576917042,0.0,0.0,1,5.0,6.0,1036.0,direction,282.04,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
54,,发现未完,measure,18,600.0000000000001,-1039.2304845413264,found,found,750.1894815373973,21.243769423928114,0.0,0.0,1,5.0,6.0,1042.0,direction,79.7,sweep_shared_known_probe,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_shared_known_probe,8,12,0,0
55,,发现未完,measure,12,600.0000000000001,-1039.2304845413264,found,found,750.1806557707274,42.655234612416876,0.0,0.0,1,5.0,6.0,1048.0,direction,52.66,sweep_shared_known_probe,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_shared_known_probe,8,12,0,0
56,,发现未完,measure,4,600.0000000000001,-1039.2304845413264,found,found,38.74633590843407,24.026363671232023,0.0,0.0,1,5.0,6.0,1054.0,direction,218.2,sweep_shared_known_probe,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_shared_known_probe,8,12,0,0
57,,发现未完,measure,1,1200.0,0.0,unknown,unknown,,,1200.0,240.0,1,5.0,246.0,1300.0,no_signal,,sweep_next_discovery_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_next_discovery_node,8,12,0,0
58,,发现未完,measure,2,1200.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1306.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
59,,发现未完,measure,3,1200.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1312.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
60,,发现未完,measure,7,1200.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1318.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
61,,发现未完,measure,10,1200.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1324.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
62,,发现未完,measure,11,1200.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1330.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
63,,发现未完,measure,13,1200.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1336.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
64,,发现未完,measure,19,1200.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1342.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
65,,发现未完,measure,9,1200.0,0.0,found,found,750.1866426137731,21.751521538140224,0.0,0.0,1,5.0,6.0,1348.0,direction,156.66,sweep_shared_known_probe,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_shared_known_probe,8,12,0,0
66,,发现未完,measure,6,1200.0,0.0,found,found,750.2302288432892,33.317879384377385,0.0,0.0,1,5.0,6.0,1354.0,direction,157.7,sweep_shared_known_probe,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_shared_known_probe,8,12,0,0
